,"Population"
"1950",7623130
"1951",7934689
"1952",8251039
"1953",8572131
"1954",8897776
"1955",9229462
"1956",9567049
"1957",9909453
"1958",10256963
"1959",10612773
"1960",10983147
"1961",11371850
"1962",11779051
"1963",12200148
"1964",12630946
"1965",13070708
"1966",13515900
"1967",13917831
"1968",14271112
"1969",14617237
"1970",14957870
"1971",15292065
"1972",15617414
"1973",15933845
"1974",16243905
"1975",16551774
"1976",16860821
"1977",17171482
"1978",17482884
"1979",17793465
"1980",18100281
"1981",18400556
"1982",18692874
"1983",18976104
"1984",19249250
"1985",19511876
"1986",19761790
"1987",19995931
"1988",20211361
"1989",20404386
"1990",20586174
"1991",20770620
"1992",20952222
"1993",21125717
"1994",21293437
"1995",21455813
"1996",21612429
"1997",21764843
"1998",21913672
"1999",22057214
"2000",22194731
"2001",22333125
"2002",22469616
"2003",22593681
"2004",22703099
"2005",22796306
"2006",22874975
"2007",22942308
"2008",22998321
"2009",23044082
"2010",23083083
"2011",23143071
"2012",23234058
"2013",23330334
"2014",23422513
"2015",23512136
"2016",23594471
"2017",23665024
"2018",23726185
"2019",23777737
"2020",23821464
"2021",23859912
"2022",23893394
"2023",23923276
"2024",23950214
"2025",23974031
